1,2,48.1582,11.322,'Fatih Meier 67',applicant,Kandidat,0,
39,3,48.17,11.3642,'C4B Com For Bussiness AG 4.38 29',company,Firma,0,
40,3,48.17,11.3642,'TROST AUTO SERVICE TECHNIK SE 4.38 28',company,Firma,0,
41,3,48.17,11.3662,'Besta Trennwandbau GmbH 4.58 27',company,Firma,0,
42,3,48.1701,11.3634,'P.T.M. Gmbh 4.32 26',company,Firma,0,
43,3,48.1705,11.3629,'Tm Ausbau GmbH 4.27 25',company,Firma,0,
44,3,48.1707,11.3631,'MEIKO Werksvertretung München GmbH 4.3 24',company,Firma,0,
45,3,48.1711,11.359,'KADE GmbH 3.93 23',company,Firma,0,
46,3,48.1713,11.3617,'Strobel Spezialmaschinen GmbH 4.19 22',company,Firma,0,
47,3,48.1733,11.3676,'Eugen Trost GmbH & Co. 4.81 21',company,Firma,0,
48,3,48.1733,11.3676,'Trost Eugen GmbH & Co. Autoteile - Werkzeuge 4.81 20',company,Firma,0,
49,3,48.1734,11.3465,'APS Germany GmbH 2.88 19',company,Firma,0,
50,3,48.1734,11.3465,'d&h Kühllagerbau Puchheim GmbH 2.88 18',company,Firma,0,
51,3,48.1734,11.3465,'EMHA-Montagetechnik Entwicklungs-GmbH 2.88 17',company,Firma,0,
52,3,48.1736,11.3661,'Amway GmbH 4.67 16',company,Firma,0,
53,3,48.1736,11.3664,'Becker Diamantwerkzeuge GmbH 4.71 15',company,Firma,0,
54,3,48.175,11.3606,'Dentallabor Molinek GmbH 4.22 14',company,Firma,0,
55,3,48.1758,11.3623,'Zahnärztin Friederike Solch 4.4 13',company,Firma,0,
56,3,48.1797,11.3023,'WKM GmbH 2.91 12',company,Firma,0,
57,3,48.18,11.3053,'HWR-Chemie GmbH 2.74 11',company,Firma,0,
58,3,48.1832,11.2916,'Galvano Weis GmbH & Co. KG 3.93 10',company,Firma,0,
59,3,48.1964,11.3282,'Vistec Vision Technologies AG 3.87 9',company,Firma,0,
60,3,48.1964,11.3282,'Ygomi Europe GmbH 3.87 8',company,Firma,0,
61,3,48.1965,11.3276,'LASER COMPONENTS GmbH 3.87 7',company,Firma,0,
62,3,48.1977,11.3269,'RWM Schlafsysteme GmbH 3.98 6',company,Firma,0,
63,3,48.198,11.3323,'econix GmbH 4.11 5',company,Firma,0,
64,3,48.198,11.3323,'econix GmbH( Doublette) 4.11 4',company,Firma,0,
65,3,48.1981,11.3281,'Remondis Medison GmbH 4.04 3',company,Firma,0,
66,3,48.1996,11.3308,'Stemmer GmbH 4.24 2',company,Firma,0,
67,3,48.201,11.3248,'Solution Research GmbH 4.29 1',company,Firma,0,
68,1,48.1582,11.322,'Mittelpunkt 1',Center,Mittelpunkt,5,
